Apple Inc.,AAPL
Microsoft Corporation,MSFT
Alphabet Inc.,GOOG
Intel Corporation,INTC
Amazon.com Inc.,AMZN
Facebook Inc.,FB
Berkshire Hathaway Inc.,BRK.A
Alibaba Group Holding Ltd,BABA
Johnson & Johnson,JNJ
JPMorgan Chase & Co.,JPM
ExxonMobil,XOM
Bank of America,BAC
Wal-Mart Stores Inc.,WMT
Wells Fargo & Co.,WFC
Royal Dutch Shell plc,RDS.A
Visa Inc.,V
Procter & Gamble Co.,PG
Anheuser-Busch Inbev,BUD
AT&T Inc.,T
Chevron Corporation,CVX
UnitedHealth Group Inc.,UNH
Pfizer Inc.,PFE
Roche Holding Ltd.,RHHBY
China Mobile,CHL
Home Depot,HD
Taiwan Semiconductor Mfg. Co. Ltd,TSM
Verizon Communications,VZ
Oracle Corporation,ORCL
Citigroup Inc.,C
Novartis AG,NVS
